locus_tag	ftype	length_bp	gene	EC_number	COG	product
CFCHDMIM_00959	CDS	519	hscB		COG1076	Co-chaperone protein HscB 
CFCHDMIM_00960	CDS	1860	hscA		COG0443	Chaperone protein HscA
CFCHDMIM_00961	CDS	339	fdx_2		COG0633	2Fe-2S ferredoxin
CFCHDMIM_00962	CDS	1470				hypothetical protein
CFCHDMIM_00963	CDS	435				hypothetical protein
CFCHDMIM_00964	CDS	3462	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
CFCHDMIM_00965	CDS	357				hypothetical protein
CFCHDMIM_00966	CDS	942	yfeX_1	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
CFCHDMIM_00967	CDS	780				hypothetical protein
CFCHDMIM_00968	CDS	507		4.1.3.17	COG0684	Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase
CFCHDMIM_00969	CDS	666				hypothetical protein
CFCHDMIM_00970	CDS	267	rpsT		COG0268	30S ribosomal protein S20
CFCHDMIM_00971	CDS	735				hypothetical protein
CFCHDMIM_00972	CDS	858	cysQ	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
CFCHDMIM_00973	CDS	369				hypothetical protein
CFCHDMIM_00974	CDS	735				hypothetical protein
CFCHDMIM_00975	CDS	1731	gsiA	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
CFCHDMIM_00976	CDS	1143				hypothetical protein
CFCHDMIM_00977	CDS	939	gsiC		COG0601	Glutathione transport system permease protein GsiC
CFCHDMIM_00978	CDS	2013	prlC_1	3.4.24.70	COG0339	Oligopeptidase A
CFCHDMIM_00979	CDS	1821	oppA_1		COG4166	Oligopeptide-binding protein OppA
CFCHDMIM_00980	CDS	1785	hbpA		COG0747	Heme-binding protein A
CFCHDMIM_00981	CDS	93				hypothetical protein
CFCHDMIM_00982	CDS	2670	btuB_1			Vitamin B12 transporter BtuB
CFCHDMIM_00983	CDS	717				hypothetical protein
CFCHDMIM_00984	CDS	879	tolQ_3			Tol-Pal system protein TolQ
CFCHDMIM_00985	CDS	423	exbD_3		COG0848	Biopolymer transport protein ExbD
CFCHDMIM_00986	CDS	414	exbD_4		COG0848	Biopolymer transport protein ExbD
CFCHDMIM_00987	CDS	450	bltD	2.3.1.57	COG0454	Spermine/spermidine acetyltransferase
CFCHDMIM_00988	CDS	2166	glcB	2.3.3.9	COG2225	Malate synthase G
CFCHDMIM_00989	CDS	1143	zapE		COG1485	Cell division protein ZapE
CFCHDMIM_00990	CDS	1020				putative HTH-type transcriptional regulator
CFCHDMIM_00991	CDS	1509		1.14.13.-	COG2072	Baeyer-Villiger monooxygenase
CFCHDMIM_00992	CDS	912				hypothetical protein
CFCHDMIM_00993	CDS	699	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
CFCHDMIM_00994	CDS	366	lapA			Lipopolysaccharide assembly protein A
CFCHDMIM_00995	CDS	303	ihfB		COG0776	Integration host factor subunit beta
CFCHDMIM_00996	CDS	1674	rpsA		COG0539	30S ribosomal protein S1
CFCHDMIM_00997	CDS	687	cmk	2.7.4.25	COG0283	Cytidylate kinase
CFCHDMIM_00998	CDS	444				hypothetical protein
CFCHDMIM_00999	CDS	477	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
CFCHDMIM_01000	CDS	1122	caiD	4.2.1.149		Carnitinyl-CoA dehydratase
CFCHDMIM_01001	CDS	714	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
CFCHDMIM_01002	CDS	597				hypothetical protein
CFCHDMIM_01003	CDS	960	xcpX		COG3156	Type II secretion system protein K
CFCHDMIM_01004	CDS	702				hypothetical protein
CFCHDMIM_01005	CDS	381				hypothetical protein
CFCHDMIM_01006	CDS	555				hypothetical protein
CFCHDMIM_01007	CDS	609				hypothetical protein
CFCHDMIM_01008	CDS	774	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
CFCHDMIM_01009	CDS	342				hypothetical protein
CFCHDMIM_01010	CDS	981				hypothetical protein
CFCHDMIM_01011	CDS	762	kdsB	2.7.7.38		3-deoxy-manno-octulosonate cytidylyltransferase
CFCHDMIM_01012	CDS	1011	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
CFCHDMIM_01013	CDS	1728	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
CFCHDMIM_01014	CDS	429	tolR			Tol-Pal system protein TolR
CFCHDMIM_01015	CDS	636	tolQ_4			Tol-Pal system protein TolQ
CFCHDMIM_01016	CDS	888	parB		COG1475	putative chromosome-partitioning protein ParB
CFCHDMIM_01017	CDS	783	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
CFCHDMIM_01018	CDS	633	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
CFCHDMIM_01019	CDS	690	murU	2.7.7.99	COG1208	N-acetylmuramate alpha-1-phosphate uridylyltransferase
CFCHDMIM_01020	CDS	1014	amgK	2.7.1.221	COG3178	N-acetylmuramate/N-acetylglucosamine kinase
CFCHDMIM_01021	CDS	2442	lptD		COG1452	LPS-assembly protein LptD
CFCHDMIM_01022	CDS	1311	surA	5.2.1.8	COG0760	Chaperone SurA
CFCHDMIM_01023	CDS	1038	cbbA	4.1.2.13		Fructose-bisphosphate aldolase
CFCHDMIM_01024	CDS	243				hypothetical protein
CFCHDMIM_01025	CDS	1188	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
CFCHDMIM_01026	CDS	384				hypothetical protein
CFCHDMIM_01027	CDS	594	yceF	3.6.1.-	COG0424	7-methyl-GTP pyrophosphatase
CFCHDMIM_01028	CDS	1164		1.14.11.-	COG2850	putative ribosomal oxygenase
CFCHDMIM_01029	CDS	567	yxaF			putative HTH-type transcriptional regulator YxaF
CFCHDMIM_01030	CDS	309	bigR		COG0640	Biofilm growth-associated repressor
CFCHDMIM_01031	CDS	453	soxR		COG0789	Redox-sensitive transcriptional activator SoxR
CFCHDMIM_01032	CDS	435				hypothetical protein
CFCHDMIM_01033	CDS	99				hypothetical protein
CFCHDMIM_01034	CDS	936	dapA_2	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
CFCHDMIM_01035	CDS	909				hypothetical protein
CFCHDMIM_01036	CDS	684	glaR		COG1802	HTH-type transcriptional repressor GlaR
CFCHDMIM_01037	CDS	933		5.1.1.8		4-hydroxyproline 2-epimerase
CFCHDMIM_01038	CDS	1104	hcnC	1.4.99.5	COG0665	Hydrogen cyanide synthase subunit HcnC
CFCHDMIM_01039	CDS	231	hcnA	1.4.99.5	COG0446	Hydrogen cyanide synthase subunit HcnA
CFCHDMIM_01040	CDS	1263	hcnB	1.4.99.5		Hydrogen cyanide synthase subunit HcnB
CFCHDMIM_01041	CDS	753	rhaS_2			HTH-type transcriptional activator RhaS
CFCHDMIM_01042	CDS	1290	abaF_1			Fosfomycin resistance protein AbaF
CFCHDMIM_01043	CDS	1581		1.2.1.26		Alpha-ketoglutaric semialdehyde dehydrogenase
CFCHDMIM_01044	CDS	1572	yveA		COG0531	Aspartate-proton symporter
CFCHDMIM_01045	CDS	1380	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
CFCHDMIM_01046	CDS	2103	paaZ		COG2030	Bifunctional protein PaaZ
CFCHDMIM_01047	CDS	939	paaA	1.14.13.149	COG3396	1,2-phenylacetyl-CoA epoxidase, subunit A
CFCHDMIM_01048	CDS	291	paaB		COG3460	1,2-phenylacetyl-CoA epoxidase, subunit B
CFCHDMIM_01049	CDS	756	paaC		COG3396	1,2-phenylacetyl-CoA epoxidase, subunit C
CFCHDMIM_01050	CDS	501	paaD		COG2151	Putative 1,2-phenylacetyl-CoA epoxidase, subunit D
CFCHDMIM_01051	CDS	1062	paaE	1.-.-.-	COG1018	1,2-phenylacetyl-CoA epoxidase, subunit E
CFCHDMIM_01052	CDS	774	paaF_3	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
CFCHDMIM_01053	CDS	792	paaG	5.3.3.18	COG1024	1,2-epoxyphenylacetyl-CoA isomerase
CFCHDMIM_01054	CDS	1539	paaH_1	1.1.1.-	COG1250	3-hydroxyadipyl-CoA dehydrogenase
CFCHDMIM_01055	CDS	1209	paaJ	2.3.1.174	COG0183	3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase
CFCHDMIM_01056	CDS	1290	paaK	6.2.1.30	COG1541	Phenylacetate-coenzyme A ligase
CFCHDMIM_01057	CDS	966	paaX		COG3327	Transcriptional repressor PaaX
CFCHDMIM_01058	CDS	606	yrdA_2		COG0663	Protein YrdA
CFCHDMIM_01059	CDS	384	paaI	3.1.2.-	COG2050	Acyl-coenzyme A thioesterase PaaI
CFCHDMIM_01060	CDS	498				hypothetical protein
CFCHDMIM_01061	CDS	849				hypothetical protein
CFCHDMIM_01062	CDS	1197				hypothetical protein
CFCHDMIM_01063	CDS	603				hypothetical protein
CFCHDMIM_01064	CDS	627				hypothetical protein
CFCHDMIM_01065	CDS	1065	srpA	1.11.1.-	COG0753	Catalase-related peroxidase
CFCHDMIM_01066	CDS	573	yceJ_1		COG3038	Cytochrome b561 
CFCHDMIM_01067	CDS	285				hypothetical protein
CFCHDMIM_01068	CDS	663				hypothetical protein
CFCHDMIM_01069	CDS	603				hypothetical protein
CFCHDMIM_01070	CDS	792	tgnD	3.5.1.-		(E)-2-((N-methylformamido)methylene)succinate hydrolase
CFCHDMIM_01071	CDS	933	tgnA	1.5.1.36	COG1853	Flavin-dependent trigonelline monooxygenase, reductase component
CFCHDMIM_01072	CDS	1038	tgnB	1.14.14.-	COG2141	Flavin-dependent trigonelline monooxygenase, oxygenase component
CFCHDMIM_01073	CDS	1470	tgnC	1.2.1.-	COG1012	(Z)-2-((N-methylformamido)methylene)-5-hydroxybutyrolactone dehydrogenase
CFCHDMIM_01074	CDS	1407				hypothetical protein
CFCHDMIM_01075	CDS	1170				hypothetical protein
CFCHDMIM_01076	CDS	1458	tgnE	1.2.1.24	COG1012	Succinate semialdehyde dehydrogenase
CFCHDMIM_01077	CDS	384				hypothetical protein
CFCHDMIM_01078	CDS	906	pgrR_2			HTH-type transcriptional regulator PgrR
CFCHDMIM_01079	CDS	597	azoR	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase
CFCHDMIM_01080	CDS	816	pobR		COG1414	p-hydroxybenzoate hydroxylase transcriptional activator
CFCHDMIM_01081	CDS	1215	pobA	1.14.13.2		p-hydroxybenzoate hydroxylase
CFCHDMIM_01082	CDS	723	phnR		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
CFCHDMIM_01083	CDS	1038			COG1840	putative protein
CFCHDMIM_01084	CDS	1203	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
CFCHDMIM_01085	CDS	1710				hypothetical protein
CFCHDMIM_01086	CDS	1155	soxA	1.5.3.1		Monomeric sarcosine oxidase
CFCHDMIM_01087	CDS	1188	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
CFCHDMIM_01088	CDS	816	phnX	3.11.1.1	COG0637	Phosphonoacetaldehyde hydrolase
CFCHDMIM_01089	CDS	1251	yjhB_2			Putative metabolite transport protein YjhB
CFCHDMIM_01090	CDS	1152	carC_1	1.3.1.108	COG1960	Caffeyl-CoA reductase-Etf complex subunit CarC
CFCHDMIM_01091	CDS	1218	uctC_2	2.8.3.19		Acetyl-CoA:oxalate CoA-transferase
CFCHDMIM_01092	CDS	852	tsaQ1_1			HTH-type transcriptional regulator TsaQ1/TsaQ2
CFCHDMIM_01093	CDS	810	paaF_4	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
CFCHDMIM_01094	CDS	972		1.6.5.11	COG2070	NADH:quinone reductase
CFCHDMIM_01095	CDS	1185				putative transporter
CFCHDMIM_01096	CDS	843	tsaQ1_2			HTH-type transcriptional regulator TsaQ1/TsaQ2
CFCHDMIM_01097	CDS	1206	pcaF_1	2.3.1.174	COG0183	Beta-ketoadipyl-CoA thiolase
CFCHDMIM_01098	CDS	1524	paaH_2	1.1.1.-	COG1250	3-hydroxyadipyl-CoA dehydrogenase
CFCHDMIM_01099	CDS	762	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
CFCHDMIM_01100	CDS	789	paaF_5	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
CFCHDMIM_01101	CDS	1155	mmgC_2	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
CFCHDMIM_01102	CDS	1314	yjhB_3			Putative metabolite transport protein YjhB
CFCHDMIM_01103	CDS	669	pcaI_1	2.8.3.6	COG1788	3-oxoadipate CoA-transferase subunit A
CFCHDMIM_01104	CDS	654	pcaJ_1	2.8.3.6	COG2057	3-oxoadipate CoA-transferase subunit B
CFCHDMIM_01105	CDS	1317				hypothetical protein
CFCHDMIM_01106	CDS	1218				putative transporter
CFCHDMIM_01107	CDS	435				hypothetical protein
CFCHDMIM_01108	CDS	1803	dmdC_1	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
CFCHDMIM_01109	CDS	804				hypothetical protein
CFCHDMIM_01110	CDS	3483				hypothetical protein
CFCHDMIM_01111	CDS	942	dmlR_2			HTH-type transcriptional regulator DmlR
CFCHDMIM_01112	CDS	903	liuE	4.1.3.26	COG0119	3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase
CFCHDMIM_01113	CDS	1992	accA1_1		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
CFCHDMIM_01114	CDS	804	dpgD	4.2.1.17		Enoyl-CoA-hydratase
CFCHDMIM_01115	CDS	1602		2.1.3.1	COG4799	Methylmalonyl-CoA carboxyltransferase 12S subunit
CFCHDMIM_01116	CDS	1173	mmgC_3	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
CFCHDMIM_01117	CDS	618	betI_3			HTH-type transcriptional regulator BetI
CFCHDMIM_01118	CDS	1695	fadD3	6.2.1.41	COG0318	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase
CFCHDMIM_01119	CDS	672	cmoA_1	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
CFCHDMIM_01120	CDS	1287				hypothetical protein
CFCHDMIM_01121	CDS	1239				hypothetical protein
CFCHDMIM_01122	CDS	906	dmlR_3			HTH-type transcriptional regulator DmlR
CFCHDMIM_01123	CDS	291				hypothetical protein
CFCHDMIM_01124	CDS	147				hypothetical protein
CFCHDMIM_01125	CDS	144				hypothetical protein
CFCHDMIM_01126	CDS	429				hypothetical protein
CFCHDMIM_01127	CDS	222				hypothetical protein
CFCHDMIM_01128	CDS	318				hypothetical protein
CFCHDMIM_01129	CDS	222				hypothetical protein
CFCHDMIM_01130	CDS	480	cinA			Putative competence-damage inducible protein
CFCHDMIM_01131	CDS	1410				hypothetical protein
CFCHDMIM_01132	CDS	2139	katE	1.11.1.6	COG0753	Catalase HPII
CFCHDMIM_01133	CDS	879	ydaD	1.-.-.-		General stress protein 39
CFCHDMIM_01134	CDS	414				hypothetical protein
CFCHDMIM_01135	CDS	1173				hypothetical protein
CFCHDMIM_01136	CDS	237				hypothetical protein
CFCHDMIM_01137	CDS	612	lexA	3.4.21.88		LexA repressor
CFCHDMIM_01138	CDS	612	rhtB_2		COG1280	Homoserine/homoserine lactone efflux protein
CFCHDMIM_01139	CDS	456	lrp_2		COG1522	Leucine-responsive regulatory protein
CFCHDMIM_01140	CDS	1617				hypothetical protein
CFCHDMIM_01141	CDS	3465	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
CFCHDMIM_01142	CDS	960	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
CFCHDMIM_01143	CDS	285	yjdJ		COG2388	putative protein YjdJ
CFCHDMIM_01144	CDS	660	glnM		COG0765	putative glutamine ABC transporter permease protein GlnM
CFCHDMIM_01145	CDS	666	glnP		COG0765	putative glutamine ABC transporter permease protein GlnP
CFCHDMIM_01146	CDS	732	glnQ_1			Glutamine transport ATP-binding protein GlnQ
CFCHDMIM_01147	CDS	861	glnH_1		COG0834	ABC transporter glutamine-binding protein GlnH
CFCHDMIM_01148	CDS	867	glnH_2		COG0834	ABC transporter glutamine-binding protein GlnH
CFCHDMIM_01149	CDS	936	dmlR_4			HTH-type transcriptional regulator DmlR
CFCHDMIM_01150	CDS	639	rhtC_3		COG1280	Threonine efflux protein
CFCHDMIM_01151	CDS	1656	sufS	4.4.1.16		Cysteine desulfurase
CFCHDMIM_01152	CDS	1014	mmpI			Major membrane protein I
CFCHDMIM_01153	CDS	924	lpxD_1	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
CFCHDMIM_01154	CDS	510	glpE_1	2.8.1.1		Thiosulfate sulfurtransferase GlpE
CFCHDMIM_01155	CDS	738	fabG_4	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
CFCHDMIM_01156	CDS	921	dmlR_5			HTH-type transcriptional regulator DmlR
CFCHDMIM_01157	CDS	861	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
CFCHDMIM_01158	CDS	627	yfcF	2.5.1.18	COG0625	Glutathione S-transferase YfcF
CFCHDMIM_01159	CDS	906	gltC_2			HTH-type transcriptional regulator GltC
CFCHDMIM_01160	CDS	432	cidA			Holin-like protein CidA
CFCHDMIM_01161	CDS	690	cidB_1		COG1346	Holin-like protein CidB
CFCHDMIM_01162	CDS	1491	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
CFCHDMIM_01163	CDS	636	paiB		COG2808	Protease synthase and sporulation protein PAI 2
CFCHDMIM_01164	CDS	594				hypothetical protein
CFCHDMIM_01165	CDS	1188	rfnT			Riboflavin transporter RfnT
CFCHDMIM_01166	CDS	1680	madA	2.3.1.187		Acetyl-S-ACP:malonate ACP transferase
CFCHDMIM_01167	CDS	885	citG	2.4.2.52	COG1767	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
CFCHDMIM_01168	CDS	300	mdcC			Malonate decarboxylase acyl carrier protein
CFCHDMIM_01169	CDS	852	madC	2.1.3.10		Malonyl-S-ACP:biotin-protein carboxyltransferase MADC
CFCHDMIM_01170	CDS	828				hypothetical protein
CFCHDMIM_01171	CDS	603	mdcG	2.7.7.66		Phosphoribosyl-dephospho-CoA transferase
CFCHDMIM_01172	CDS	939	fabD_2	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
CFCHDMIM_01173	CDS	420				hypothetical protein
CFCHDMIM_01174	CDS	765				hypothetical protein
CFCHDMIM_01175	CDS	918	cynR_2			HTH-type transcriptional regulator CynR
CFCHDMIM_01176	CDS	1419	norG_1		COG1167	HTH-type transcriptional regulator NorG
CFCHDMIM_01177	CDS	135				hypothetical protein
CFCHDMIM_01178	CDS	1005	cydB_1	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
CFCHDMIM_01179	CDS	1446				hypothetical protein
CFCHDMIM_01180	CDS	819				hypothetical protein
CFCHDMIM_01181	CDS	1296	sfnC_3	1.14.14.-		putative FMNH2-dependent monooxygenase SfnC
CFCHDMIM_01182	CDS	1392	dmoA_1	1.14.13.131		Dimethyl-sulfide monooxygenase
CFCHDMIM_01183	CDS	1467	nanT_1			Sialic acid transporter NanT
CFCHDMIM_01184	CDS	738				hypothetical protein
CFCHDMIM_01185	CDS	426				hypothetical protein
CFCHDMIM_01186	CDS	1041	tauA		COG4521	Taurine-binding periplasmic protein
CFCHDMIM_01187	CDS	795	tauB_2	7.6.2.7	COG4525	Taurine import ATP-binding protein TauB
CFCHDMIM_01188	CDS	870	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
CFCHDMIM_01189	CDS	882	tauD	1.14.11.17	COG2175	Alpha-ketoglutarate-dependent taurine dioxygenase
CFCHDMIM_01190	CDS	735	hyuE	5.1.99.5		Hydantoin racemase
CFCHDMIM_01191	CDS	1470	pucI		COG1953	putative allantoin permease
CFCHDMIM_01192	CDS	738	nanR_1			HTH-type transcriptional repressor NanR
CFCHDMIM_01193	CDS	891	dmlR_6			HTH-type transcriptional regulator DmlR
CFCHDMIM_01194	CDS	687	ycaC_1	4.-.-.-	COG1335	putative hydrolase YcaC
CFCHDMIM_01195	CDS	1875	nfdA	3.5.1.91		N-substituted formamide deformylase
CFCHDMIM_01196	CDS	162				hypothetical protein
CFCHDMIM_01197	CDS	429	arsC	1.20.4.1		Arsenate reductase
CFCHDMIM_01198	CDS	330				hypothetical protein
CFCHDMIM_01199	CDS	1035	acr3		COG0798	Arsenical-resistance protein Acr3
CFCHDMIM_01200	CDS	903	benM_1			HTH-type transcriptional regulator BenM
CFCHDMIM_01201	CDS	561				hypothetical protein
CFCHDMIM_01202	CDS	522				hypothetical protein
CFCHDMIM_01203	tRNA	74				tRNA-Glu(ttc)
CFCHDMIM_01204	CDS	885				hypothetical protein
CFCHDMIM_01205	CDS	1419	rocC_1		COG0833	Amino-acid permease RocC
CFCHDMIM_01206	tRNA	76				tRNA-Glu(ttc)
CFCHDMIM_01207	tRNA	76				tRNA-Ala(ggc)
CFCHDMIM_01208	CDS	1509	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
CFCHDMIM_01209	CDS	300				hypothetical protein
CFCHDMIM_01210	CDS	1002	sbp_2		COG1613	Sulfate-binding protein
CFCHDMIM_01211	CDS	924	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
CFCHDMIM_01212	CDS	333	ftsL			Cell division protein FtsL
CFCHDMIM_01213	CDS	1833	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
CFCHDMIM_01214	CDS	1500	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
CFCHDMIM_01215	CDS	1401	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
CFCHDMIM_01216	CDS	1119	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
CFCHDMIM_01217	CDS	333				hypothetical protein
CFCHDMIM_01218	CDS	825	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
CFCHDMIM_01219	CDS	2556	mrcA		COG5009	Penicillin-binding protein 1A
CFCHDMIM_01220	CDS	1059	ftsA_1			Cell division protein FtsA
CFCHDMIM_01221	CDS	642				hypothetical protein
CFCHDMIM_01222	CDS	741				hypothetical protein
CFCHDMIM_01223	CDS	528				hypothetical protein
CFCHDMIM_01224	CDS	2166	pilQ			Type IV pilus biogenesis and competence protein PilQ
CFCHDMIM_01225	CDS	570	aroK	2.7.1.71	COG0703	Shikimate kinase 1
CFCHDMIM_01226	CDS	1083	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
CFCHDMIM_01227	CDS	876				hypothetical protein
CFCHDMIM_01228	CDS	4482	gltB	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
CFCHDMIM_01229	CDS	1422	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
CFCHDMIM_01230	CDS	888				hypothetical protein
CFCHDMIM_01231	CDS	591	lemA		COG1704	Protein LemA
CFCHDMIM_01232	CDS	1083				hypothetical protein
CFCHDMIM_01233	CDS	561				hypothetical protein
CFCHDMIM_01234	CDS	171				hypothetical protein
CFCHDMIM_01235	CDS	1311				hypothetical protein
CFCHDMIM_01236	CDS	1629				hypothetical protein
CFCHDMIM_01237	CDS	465	bfr_2	1.16.3.1	COG2193	Bacterioferritin
CFCHDMIM_01238	CDS	195	bfd		COG2906	Bacterioferritin-associated ferredoxin
CFCHDMIM_01239	CDS	384	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
CFCHDMIM_01240	CDS	2106	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
CFCHDMIM_01241	CDS	279	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
CFCHDMIM_01242	CDS	630	gmk	2.7.4.8	COG0194	Guanylate kinase
CFCHDMIM_01243	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
CFCHDMIM_01244	CDS	474				hypothetical protein
CFCHDMIM_01245	CDS	555				hypothetical protein
CFCHDMIM_01246	CDS	1002				hypothetical protein
CFCHDMIM_01247	CDS	819				hypothetical protein
CFCHDMIM_01248	CDS	3867				hypothetical protein
CFCHDMIM_01249	CDS	483				hypothetical protein
CFCHDMIM_01250	CDS	426				hypothetical protein
CFCHDMIM_01251	CDS	252	rpsP		COG0228	30S ribosomal protein S16
CFCHDMIM_01252	CDS	549	rimM		COG0806	Ribosome maturation factor RimM
CFCHDMIM_01253	CDS	741	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
CFCHDMIM_01254	CDS	369	rplS		COG0335	50S ribosomal protein L19
CFCHDMIM_01255	CDS	975	lip	3.1.1.3	COG1075	Triacylglycerol lipase
CFCHDMIM_01256	CDS	1035	lifO		COG5380	Lipase chaperone
CFCHDMIM_01257	CDS	906	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
CFCHDMIM_01258	CDS	777	yfcA		COG0730	putative membrane transporter protein YfcA
CFCHDMIM_01259	CDS	444			COG5592	DNA nickase
CFCHDMIM_01260	CDS	861	rhtA_1		COG5006	Threonine/homoserine exporter RhtA
CFCHDMIM_01261	CDS	885	rhtA_2		COG5006	Threonine/homoserine exporter RhtA
CFCHDMIM_01262	CDS	1233	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
CFCHDMIM_01263	CDS	1410		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
CFCHDMIM_01264	CDS	369				hypothetical protein
CFCHDMIM_01265	CDS	315	ygiN	1.-.-.-	COG1359	putative quinol monooxygenase YgiN
CFCHDMIM_01266	CDS	588	mdaB	1.6.5.10	COG2249	NADPH:quinone oxidoreductase MdaB
CFCHDMIM_01267	CDS	366				hypothetical protein
CFCHDMIM_01268	CDS	1230	craA			Chloramphenicol resistance protein CraA
CFCHDMIM_01269	CDS	2151	yccS_1		COG1289	Inner membrane protein YccS
CFCHDMIM_01270	CDS	576				hypothetical protein
CFCHDMIM_01271	CDS	1119	ydiK		COG0628	Putative transport protein YdiK
CFCHDMIM_01272	CDS	597				hypothetical protein
CFCHDMIM_01273	CDS	468				hypothetical protein
CFCHDMIM_01274	CDS	564				hypothetical protein
CFCHDMIM_01275	CDS	534				hypothetical protein
CFCHDMIM_01276	CDS	795	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
CFCHDMIM_01277	CDS	1278				hypothetical protein
CFCHDMIM_01278	CDS	1434	rocC_2		COG0833	Amino-acid permease RocC
CFCHDMIM_01279	CDS	1272	gdhA_1	1.4.1.3	COG0334	Glutamate dehydrogenase
CFCHDMIM_01280	CDS	1215	astC	2.6.1.81	COG4992	Succinylornithine transaminase
CFCHDMIM_01281	CDS	1032	astA	2.3.1.109	COG3138	Arginine N-succinyltransferase
CFCHDMIM_01282	CDS	1470	astD	1.2.1.71	COG1012	N-succinylglutamate 5-semialdehyde dehydrogenase
CFCHDMIM_01283	CDS	1344	astB	3.5.3.23	COG3724	N-succinylarginine dihydrolase
CFCHDMIM_01284	CDS	975	astE	3.5.1.96	COG2988	Succinylglutamate desuccinylase
CFCHDMIM_01285	CDS	762				hypothetical protein
CFCHDMIM_01286	CDS	312				hypothetical protein
CFCHDMIM_01287	CDS	1356	aprE	3.4.21.62	COG1404	Subtilisin E
